HD	RAJ2000	DEJ2000	Mag	Name	Constellation	Bayer
139641	15 37 49.55	+40 21 11.8	 5.25	Ceginus	Bootes	phi
23288	03 44 48.20	+24 17 22.5	 5.45	Celaeno	Taurus	16
112413	12 56 01.84	+38 19 05.7	 2.89	Cor Caroli	Canes Venatici	alpha
140573	15 44 16.00	+06 25 31.9	 2.63	Cor Serpentis	Serpens	alpha
97633	11 14 14.44	+15 25 47.1	 3.33	Coxa	Leo	theta
33111	05 07 51.03	-05 05 10.5	 2.78	Cursa	Eridanus	beta
193495	20 21 00.65	-14 46 53.0	 3.05	Dabih	Capricornus	beta
197345	20 41 25.91	+45 16 49.2	 1.25	Deneb	Cygnus	alpha
1522	00 19 25.68	-08 49 25.8	 3.56	Deneb al' Shemali	Cetus	iota
207098	21 47 02.29	-16 07 35.6	 2.85	Deneb Algiedi; Scheddi	Capricornus	delta
195810	20 33 12.76	+11 18 12.0	 4.03	Deneb ehl' Del'fini	Delphinus	epsilon
176411	18 59 37.39	+15 04 06.5	 4.02	Deneb el Okab	Aquila	epsilon
177724	19 05 24.61	+13 51 49.4	 2.99	Deneb el Okab	Aquila	dzeta
4128	00 43 35.23	-17 59 12.1	 2.04	Deneb Kaitos	Cetus	beta
182640	19 25 29.75	+03 06 52.5	 3.36	Deneb Okab	Aquila	delta
188310	19 54 14.82	+08 27 41.9	 4.71	Deneb Okab	Aquila	xi
102647	11 49 03.88	+14 34 20.4	 2.14	Denebola	Leo	beta
6805	01 08 35.26	-10 10 54.9	 3.46	Dheneb; Deneb; Deneb Algenubi	Cetus	eta
114378	13 09 59.55	+17 31 44.8	 4.32	Diadem	Coma Berenices	alpha
143275	16 00 20.01	-22 37 17.8	 2.29	Dschubba	Scorpius	delta
95689	11 03 43.84	+61 45 04.0	 1.81	Dubhe	Ursa Major	alpha
162003	17 41 56.31	+72 08 58.2	 4.57	Dziban	Draco	psi
137759	15 24 55.78	+58 57 57.7	 3.29	Edasich	Draco	iota
23302	03 44 52.52	+24 06 48.4	 3.72	Ehlektra	Taurus	17
206936	21 43 30.45	+58 46 48.2	 4.23	Ehrakis	Cepheus	mu
164058	17 56 36.38	+51 29 20.2	 2.24	Ehtamin	Draco	gamma
206778	21 44 11.14	+09 52 30.0	 2.38	Enif	Pegasus	epsilon
222404	23 39 20.98	+77 37 55.1	 3.21	Errai	Cepheus	gamma
37795	05 39 38.94	-34 04 26.6	 2.65	Fakt	Columba	alpha
103287	11 53 49.74	+53 41 41.0	 2.41	Fekda	Ursa Major	gamma
216956	22 57 38.83	-29 37 18.6	 1.17	Fomalhaut	Pisces Austrinus	alpha
216956	22 57 38.83	-29 37 18.6	 1.17	Fomalhaut	Aquarius	79
93308	10 45 03.60	-59 41 03.0	 6.21	Foramen	Carina	eta
217891	23 03 52.61	+03 49 12.3	 4.48	Fum al Samakah	Pisces	beta
44402	06 20 18.79	-30 03 48.2	 3.02	Furud	Canis Major	dzeta
108903	12 31 09.93	-57 06 45.2	 1.59	Gacrux	Crux	gamma
139006	15 34 41.19	+26 42 53.7	 2.22	Gemma	Corona Borealis	alpha
100029	11 31 24.29	+69 19 52.0	 3.82	Gianfar	Draco	lambda
106625	12 15 48.47	-17 32 31.1	 2.58	Gienah	Corvus	gamma
197989	20 46 12.43	+33 58 10.0	 2.48	Gienah	Cygnus	epsilon
58715	07 27 09.07	+08 17 21.9	 2.89	Gomeisa	Canis Minor	beta
19656	03 11 17.40	+39 36 41.7	 4.61	Gorgonea Quarta	Perseus	omega
18411	02 58 45.65	+39 39 46.2	 4.68	Gorgonea Secunda	Perseus	pi
19058	03 05 10.50	+38 50 25.9	 3.32	Gorgonea Tertia	Perseus	rho
144069	16 04 21.63	-11 22 24.8	 4.16	Graffias	Scorpius	xi
144069	16 04 21.63	-11 22 24.8	 4.16	Graffias	Libra	51
144070	16 04 22.10	-11 22 23.0	 4.77	Grafias	Scorpius	xi
152334	16 54 35.11	-42 21 38.7	 3.62	Grafias	Scorpius	dzeta
163588	17 53 31.63	+56 52 20.8	 3.73	Grumium	Draco	xi
12929	02 07 10.29	+23 27 46.0	 2.01	Hamal	Aries	alpha
127762	14 32 04.76	+38 18 28.4	 3.04	Haris	Bootes	gamma
31398	04 56 59.62	+33 09 58.1	 2.69	Hassaleh	Auriga	iota
37043	05 35 25.98	-05 54 35.6	 2.75	Hatysa	Orion	iota
36861	05 35 08.28	+09 56 03.0	 3.39	Heka	Orion	lambda
118098	13 34 41.75	-00 35 45.4	 3.38	Heze	Virgo	dzeta
32068	05 02 28.68	+41 04 33.2	 3.69	Hoedus I	Auriga	dzeta
32630	05 06 30.87	+41 14 04.7	 3.18	Hoedus II	Auriga	eta
214923	22 41 27.67	+10 49 53.0	 3.41	Homam	Pegasus	dzeta
