Messier	Name	DEB2000	RAB2000	Const	mag	size	Object
M  96	NGC 3368	11.8166666666666650	161.6999999999999775	Leo	9.2	7.1	
M  97	NGC 3587	55.0166666666666590	168.6999999999999766	UMa	11.2	3.2	Owl nebula
M  98	NGC 4192	14.8999999999999979	183.4499999999999745	Com	10.1	9.5	
M  99	NGC 4254	14.4166666666666647	184.6999999999999743	Com	9.8	5.4	Pin-wheel nebula
M 100	NGC 4321	15.8166666666666645	185.7249999999999742	Com	9.4	6.9	
M 101	NGC 5457	54.3499999999999925	210.7999999999999707	UMa	7.7	26.9	
M 103	NGC 581	60.6999999999999916	23.2999999999999968	Cas	7.4	6.0	
M 104	NGC 4594	-11.6166666666666651	189.9999999999999736	Vir	8.3	8.9	Sombrero galaxy
M 105	NGC 3379	12.5833333333333316	161.9499999999999775	Leo	9.3	4.5	
M 106	NGC 4258	47.2999999999999934	184.7499999999999743	CVn	8.3	18.2	
M 107	NGC 6171	-13.0499999999999982	248.1249999999999655	Oph	8.1	10.0	
M 108	NGC 3556	55.6666666666666589	167.8749999999999767	UMa	10.1	8.3	
M 109	NGC 3992	53.3833333333333259	179.3999999999999751	UMa	9.8	7.6	
M 110	NGC 205	41.6833333333333275	10.0999999999999986	And	8.0	17.4	
