Cat,NGC/IC,RAJ2000,DEJ2000,N,Note,qPos
I,65,15.2316666666666646,47.6814722222222156,5, ,c
N,65,4.7468333333333327,-22.8804722222222190,3, ,c
I,66,15.1353749999999979,30.7968888888888846,5, ,c
N,66,4.7697499999999993,-22.9369444444444413,3, ,c
N,67,4.5508333333333327,30.0549999999999958,4,*,d
N,67,4.5620833333333327,30.0627777777777736,4,*,d
I,67,15.0708333333333312,-6.9099999999999990,1,*,e
N,68,4.5767083333333327,30.0716388888888847,7,*,c
I,68,15.0874999999999979,-6.9433333333333324,1,*,e
N,69,4.5854041666666660,30.0399805555555514,5,*,b
I,69,15.3487499999999979,31.0405555555555512,4, ,d
I,70,15.2662249999999979,0.05084444444444443738,2, ,b
N,70,4.5940416666666660,30.0794444444444403,8,*,c
I,70,15.2862499999999979,0.03916666666666666123,1, ,d
I,71,15.3302499999999979,-6.7671666666666657,1,*,c
N,71,4.5982499999999994,30.0629999999999958,6,*,c
I,72,15.3946249999999979,-6.7779444444444435,1,*,c
N,72,4.6429583333333327,30.0359444444444403,6,*,c
N,72,4.6182916666666660,30.0403333333333292,6,*,c
N,73,4.6628166666666660,-15.3220111111111090,5, ,b
I,73,16.2212499999999977,4.7669444444444438,3, ,d
I,74,16.4830083333333310,4.0913694444444439,4, ,b
N,74,4.7058749999999993,30.0610555555555514,2,*,c
N,75,4.8598208333333327,6.4492861111111102,4, ,b
I,75,16.7986249999999977,10.8366388888888874,5, ,c
N,76,4.9072916666666660,29.9339722222222181,5, ,c
I,76,17.0704166666666643,-4.5724999999999994,1, ,d
I,76,17.0487499999999976,-4.5541666666666660,2, ,d
I,77,17.1822791666666643,-15.4209888888888867,4,*,b
N,77,5.0065374999999993,-22.5324583333333302,3, ,b
I,78,17.1989291666666643,-15.8448194444444422,5, ,b
N,78,5.1072499999999993,0.82616666666666655192,6, ,c
N,78,5.1144999999999993,0.83347222222222210646,8, ,c
N,79,5.2621708333333326,22.5668194444444413,4, ,b
I,79,17.2066666666666643,-15.9488888888888867,4, ,d
I,80,17.2129583333333309,-15.4072222222222201,5,*,c
I,80,17.2111249999999976,-15.4089166666666645,2,*,c
N,80,5.2959166666666659,22.3573055555555525,6, ,c
N,81,5.3060749999999993,22.3828138888888858,3,*,b
I,81,17.3433333333333309,-1.6955555555555553,4, ,d
N,82,5.3233333333333326,22.4602777777777747,1,*,d
I,82,17.2733333333333309,-15.9997222222222200,2, ,d
N,83,5.3439999999999993,22.4339999999999969,6,*,c
I,83,17.6237499999999976,1.6888888888888887,4, ,d
I,84,17.8565291666666642,1.6400527777777775,4, ,b
N,84,5.3385416666666659,22.6196944444444413,1,*,c
N,85,5.3564666666666659,22.5117833333333302,4,*,b
N,85,5.3712083333333326,22.5060833333333302,3,*,c
I,85,17.9566666666666642,-0.45222222222222215941,1, ,d
N,86,5.3692916666666659,22.5561388888888858,4, ,c
I,86,18.3687916666666641,-16.2403888888888866,3, ,c
I,87,18.5657083333333308,0.76516666666666656039,5,*,c
N,87,5.3112499999999993,-48.6291666666666599,2, ,d
I,88,18.6301249999999974,0.79172222222222211226,3,*,c
N,88,5.3416666666666659,-48.6402777777777710,2, ,d
I,89,19.0151249999999974,4.2941666666666661,6,*,c
N,89,5.3508333333333326,-48.6655555555555488,2, ,d
I,90,19.1267166666666640,-7.9773249999999989,3, ,b
